 
****************************************
Report : area
Design : router_DATA_WIDTH32_current_address0_Rxy_rst60_Cx_rst10_NoC_size4
Version: J-2014.09-SP2
Date   : Tue Mar 14 12:33:13 2017
****************************************

Library(s) Used:

    c18_CORELIB_TYP (File: /cad/dk/c/v4.11/synopsys/c18_1.8V/c18_CORELIB_TYP.db)

Number of ports:                          366
Number of nets:                          1564
Number of cells:                          105
Number of combinational cells:             36
Number of sequential cells:                 0
Number of macros/black boxes:               0
Number of buf/inv:                         35
Number of references:                      71

Combinational area:             114493.479605
Buf/Inv area:                    11566.195581
Noncombinational area:           59891.327286
Macro/Black Box area:                0.000000
Net Interconnect area:          113776.189657

Total cell area:                174384.806890
Total area:                     288160.996547

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
--------------------------------  -----------  -------  -----------  ----------  ------  -------------------------------------------------
router_DATA_WIDTH32_current_address0_Rxy_rst60_Cx_rst10_NoC_size4
                                  174384.8069    100.0     409.2480      0.0000  0.0000  router_DATA_WIDTH32_current_address0_Rxy_rst60_Cx_rst10_NoC_size4
Arbiter_E                            863.6544      0.5     603.9936    259.6608  0.0000  Arbiter_5
Arbiter_L                            863.6544      0.5     603.9936    259.6608  0.0000  Arbiter_2
Arbiter_N                            860.8320      0.5     601.1712    259.6608  0.0000  Arbiter_0
Arbiter_R                            863.6544      0.5     603.9936    259.6608  0.0000  Arbiter_1
Arbiter_S                            860.8320      0.5     601.1712    259.6608  0.0000  Arbiter_3
Arbiter_W                            863.6544      0.5     603.9936    259.6608  0.0000  Arbiter_4
FIFO_E                             14315.2128      8.2    5681.4913   8633.7215  0.0000  FIFO_DATA_WIDTH32_5
FIFO_L                             14315.2128      8.2    5681.4913   8633.7215  0.0000  FIFO_DATA_WIDTH32_2
FIFO_N                             14315.2128      8.2    5681.4913   8633.7215  0.0000  FIFO_DATA_WIDTH32_0
FIFO_R                             14315.2128      8.2    5681.4913   8633.7215  0.0000  FIFO_DATA_WIDTH32_1
FIFO_S                             14315.2128      8.2    5681.4913   8633.7215  0.0000  FIFO_DATA_WIDTH32_3
FIFO_W                             14315.2128      8.2    5681.4913   8633.7215  0.0000  FIFO_DATA_WIDTH32_4
Fault_Control_v3_inst               7702.3295      4.4    2339.7697   5362.5599  0.0000  Fault_Control_v3
