 
****************************************
Report : area
Design : router_DATA_WIDTH32_current_address0_Rxy_rst60_Cx_rst10_NoC_size4
Version: J-2014.09-SP2
Date   : Tue Mar 14 12:33:30 2017
****************************************

Library(s) Used:

    c18_CORELIB_TYP (File: /cad/dk/c/v4.11/synopsys/c18_1.8V/c18_CORELIB_TYP.db)

Number of ports:                          342
Number of nets:                           573
Number of cells:                           21
Number of combinational cells:              1
Number of sequential cells:                 0
Number of macros/black boxes:               0
Number of buf/inv:                          0
Number of references:                      21

Combinational area:             146101.538858
Buf/Inv area:                    14986.944494
Noncombinational area:          136321.918488
Macro/Black Box area:                0.000000
Net Interconnect area:          143796.754142

Total cell area:                282423.457346
Total area:                     426220.211488

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  -------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-    Black-
                                  Total        Total    national     national     boxes   Design
--------------------------------  -----------  -------  -----------  -----------  ------  -----------------------------------------------------
router_DATA_WIDTH32_current_address0_Rxy_rst60_Cx_rst10_NoC_size4
                                  282423.4573    100.0      14.1120       0.0000  0.0000  router_DATA_WIDTH32_current_address0_Rxy_rst60_Cx_rst10_NoC_size4
Arbiter_E                           2966.3424      1.1      11.2896       0.0000  0.0000  tmr_ARBITER_4
Arbiter_E/Arbiter_inst_a             860.8320      0.3     601.1712     259.6608  0.0000  Arbiter_12
Arbiter_E/Arbiter_inst_b             860.8320      0.3     601.1712     259.6608  0.0000  Arbiter_11
Arbiter_E/Arbiter_inst_c             860.8320      0.3     601.1712     259.6608  0.0000  Arbiter_10
Arbiter_E/voter_inst                 372.5568      0.1     372.5568       0.0000  0.0000  voter_DATA_WIDTH11_4
Arbiter_L                           2966.3424      1.1      11.2896       0.0000  0.0000  tmr_ARBITER_1
Arbiter_L/Arbiter_inst_a             860.8320      0.3     601.1712     259.6608  0.0000  Arbiter_3
Arbiter_L/Arbiter_inst_b             860.8320      0.3     601.1712     259.6608  0.0000  Arbiter_2
Arbiter_L/Arbiter_inst_c             860.8320      0.3     601.1712     259.6608  0.0000  Arbiter_1
Arbiter_L/voter_inst                 372.5568      0.1     372.5568       0.0000  0.0000  voter_DATA_WIDTH11_1
Arbiter_N                           2966.3424      1.1      11.2896       0.0000  0.0000  tmr_ARBITER_0
Arbiter_N/Arbiter_inst_a             860.8320      0.3     601.1712     259.6608  0.0000  Arbiter_0
